score_full	country	S2	S5	S26	S27	education	age
11.75	AE	3	5	1	3	4	27
21.05	GB	1	3	2	2	3	53
17.25	US	3	5	3	5	2	24
30.9	US	1	5	1	3	3	56
26.6	US	1	1	1	4	3	46
29.95	US	5	2	3	5	4	22
33.6	US	3	4	1	4	4	34
27.5	US	4	2	4	4	1	17
39.65	US	4	3	1	4	2	18
40.65	CA	3	1	3	3	4	52
34.55	US	1	5	1	4	2	42
22.9	US	1	5	2	4	2	51
29.9	US	3	4	4	3	3	20
24.85	DE	3	1	1	5	3	23
15.9	US	3	1	4	3	1	15
37.25	US	4	1	4	5	3	27
5.95	US	2	5	1	1	2	16
21.5	US	2	4	2	1	4	46
25.15	CA	3	5	1	3	2	44
45	US	4	4	2	3	3	40
25.2	AP	3	1	3	3	3	27
11.55	US	4	1	1	1	1	15
41.3	US	1	2	2	2	3	31
23.25	US	2	2	4	4	1	16
12.85	US	2	3	4	3	2	16
32.2	GB	4	4	4	2	2	39
38.3	IN	3	1	3	3	3	28
36.9	GB	4	4	2	4	3	49
15.45	GB	5	4	4	3	1	13
15.85	PK	3	4	1	1	2	20
24.8	BR	4	5	3	4	3	20
23.45	US	4	3	4	2	4	24
33.55	AU	1	5	2	4	2	63
35.55	US	4	4	4	4	3	18
29.6	BG	3	3	4	3	2	28
37.6	CA	1	4	2	4	2	54
19.2	AR	1	1	2	4	2	20
32.2	GB	1	1	1	5	3	20
30.3	US	3	5	4	5	2	17
39.6	US	3	1	3	5	4	47
33.55	US	2	1	4	4	2	20
27.8	GB	1	5	1	3	2	50
31.6	US	3	1	2	1	3	50
27.65	IN	4	4	2	3	2	20
40.3	RU	3	2	2	3	3	29
19.9	US	0	1	3	3	2	21
44	GB	1	1	3	5	3	31
36.25	GB	3	3	3	4	3	47
45	CA	2	2	2	4	4	43
35.25	US	4	5	2	5	2	20
23.2	BE	1	1	3	4	3	27
27.45	US	2	4	2	4	4	50
38.95	TH	1	2	3	5	2	56
27.5	US	4	4	1	2	1	16
38.3	TH	4	5	3	1	3	21
16.25	PH	2	1	2	2	2	20
36.95	AU	3	3	3	4	2	37
28.85	IN	0	0	0	0	4	18
22.9	PH	2	1	1	4	1	15
42.65	CA	2	1	3	3	2	24
30.2	US	3	1	1	3	3	66
12.95	PH	5	5	5	1	4	29
38.3	US	4	5	3	5	1	21
33.2	US	1	1	2	4	3	23
39	US	3	3	1	3	3	33
25.5	AU	3	2	4	4	3	45
0	US	4	5	1	1	2	18
23.25	DE	1	4	2	2	3	26
29.95	IN	3	3	5	3	4	21
43.65	US	4	1	1	1	2	20
45	US	5	1	1	1	2	20
27.5	US	4	5	4	1	2	19
10.75	US	5	1	3	3	0	20
39.95	ES	3	1	1	3	3	41
31.9	MY	3	1	4	4	2	18
38.65	AU	1	2	2	4	4	72
42.3	US	3	2	4	4	2	72
14.3	NL	3	1	2	3	1	16
23.95	MX	2	1	2	5	3	23
27.5	US	3	1	2	1	3	59
16.2	FI	1	1	2	3	2	17
40.3	US	1	5	1	3	2	20
33.9	NL	2	1	2	4	3	33
33.6	PH	2	3	4	5	4	14
39.95	AU	4	1	4	4	2	40
18.6	RO	3	3	3	2	1	16
28.15	CA	3	5	5	4	2	41
26.2	US	1	1	3	4	3	32
37.95	US	2	5	1	2	2	21
12.25	ES	2	1	2	2	1	16
33.55	US	4	3	2	4	2	68
30.55	US	5	5	2	5	3	38
37.25	US	4	1	2	5	4	28
35.6	CA	3	1	2	1	3	59
30.85	GB	5	1	0	1	4	18
31.6	US	2	1	1	3	4	54
31.95	US	3	3	1	3	4	54
43.65	CA	2	1	4	4	4	37
11.55	DE	1	3	1	1	2	16
32.6	US	4	4	2	3	3	49
42.65	US	3	1	2	4	4	49
31.2	US	3	4	3	1	2	35
17.3	MY	4	3	4	4	3	24
32.95	CZ	2	1	1	5	4	33
19.55	DE	5	1	5	1	3	27
41.65	ES	3	1	3	4	3	61
24.15	IT	5	1	2	2	2	44
32.9	US	1	2	2	4	3	56
24.2	US	3	4	2	5	2	19
12.65	US	1	1	1	1	2	15
29.3	US	2	1	2	2	1	16
17.45	AU	3	5	3	3	2	16
30.15	CA	4	3	2	4	3	32
22.6	TZ	5	1	4	5	3	29
